Algorithme : Naive
Le temps d'attente moyen : 35.29759275978782 s
Ecart type : 50.44775649248669 s
Le pire cas : 143.25600024414064 s

Task    Type    Calculation_size(gflo)    Memory_size(MB)    Time_waing    Time_Execution    Time_total    Time_arrival
No.1    A       10.0                      47.0               2.53s         0.25s             2.78s         0.10s 
No.2    B       14.0                      191.0              0.54s         0.71s             1.25s         0.13s 
No.3    C       20.0                      254.0              5.05s         1.00s             6.05s         0.13s 
No.4    C       18.0                      173.0              8.79s         0.45s             9.24s         0.13s 
No.5    E       16.0                      44.0               0.32s         0.81s             1.13s         0.13s 
No.6    A       16.0                      41.0               7.30s         0.40s             7.70s         0.13s 
No.7    E       4.0                       288.0              0.26s         0.20s             0.46s         0.13s 
No.8    A       8.0                       152.0              1.42s         0.20s             1.62s         0.13s 
No.9    C       4.0                       82.0               0.26s         0.20s             0.46s         0.13s 
No.10   A       4.0                       245.0              0.21s         0.20s             0.41s         0.13s 
No.11   C       18.0                      287.0              8.82s         0.45s             9.27s         0.13s 
No.12   D       3.0                       225.0              0.23s         0.16s             0.39s         0.13s 
No.13   A       1.0                       175.0              0.14s         0.03s             0.17s         0.64s 
No.14   B       11.0                      298.0              1.00s         0.55s             1.55s         0.64s 
No.15   C       15.0                      136.0              4.80s         0.76s             5.56s         0.64s 
No.16   C       3.0                       19.0               0.66s         0.08s             0.74s         0.64s 
No.17   C       17.0                      246.0              5.63s         0.86s             6.49s         0.64s 
No.18   C       17.0                      208.0              24.02s        0.52s             24.54s        0.64s 
No.19   C       4.0                       247.0              0.69s         0.20s             0.89s         0.64s 
No.20   D       9.0                       205.0              0.62s         0.45s             1.07s         0.64s 
No.21   B       9.0                       117.0              3.88s         0.23s             4.11s         0.64s 
No.22   D       19.0                      58.0               3.37s         0.95s             4.32s         0.64s 
No.23   C       19.0                      172.0              59.62s        0.92s             60.54s        0.64s 
No.24   A       12.0                      26.0               1.22s         0.60s             1.82s         0.64s 
No.25   C       16.0                      220.0              32.54s        0.57s             33.11s        1.14s 
No.26   E       14.0                      117.0              14.47s        0.38s             14.85s        1.14s 
No.27   E       6.0                       252.0              3.26s         0.16s             3.42s         1.14s 
No.28   B       4.0                       201.0              1.83s         0.11s             1.94s         1.14s 
No.29   D       4.0                       280.0              1.85s         0.11s             1.96s         1.14s 
No.30   D       15.0                      116.0              3.50s         0.76s             4.26s         1.14s 
No.31   A       18.0                      222.0              2.44s         0.91s             3.35s         1.14s 
No.32   A       12.0                      236.0              10.11s        0.31s             10.42s        1.14s 
No.33   C       20.0                      53.0               7.50s         1.00s             8.50s         1.14s 
No.34   D       18.0                      288.0              96.29s        1.38s             97.67s        1.64s 
No.35   D       11.0                      125.0              2.84s         0.55s             3.39s         1.64s 
No.36   C       2.0                       97.0               0.94s         0.05s             0.99s         1.64s 
No.37   A       7.0                       241.0              1.04s         0.35s             1.39s         1.64s 
No.38   E       12.0                      171.0              3.14s         0.60s             3.74s         1.64s 
No.39   B       11.0                      265.0              10.47s        0.28s             10.75s        1.64s 
No.40   C       5.0                       184.0              1.66s         0.25s             1.91s         1.64s 
No.41   D       13.0                      150.0              3.31s         0.66s             3.97s         1.64s 
No.42   A       14.0                      249.0              4.32s         0.71s             5.03s         1.64s 
No.43   A       2.0                       10.0               1.11s         0.05s             1.16s         1.64s 
No.44   E       3.0                       94.0               0.57s         0.16s             0.73s         1.64s 
No.45   B       18.0                      11.0               102.94s       1.45s             104.39s       1.64s 
No.46   B       19.0                      216.0              118.49s       1.72s             120.21s       2.14s 
No.47   B       16.0                      41.0               4.48s         0.81s             5.29s         2.14s 
No.48   C       14.0                      113.0              6.00s         0.71s             6.71s         2.14s 
No.49   B       19.0                      78.0               120.54s       1.77s             122.31s       2.14s 
No.50   A       19.0                      140.0              6.51s         0.95s             7.46s         2.14s 
No.51   D       16.0                      45.0               5.71s         0.81s             6.52s         2.14s 
No.52   A       10.0                      215.0              3.41s         0.50s             3.91s         2.14s 
No.53   B       14.0                      190.0              53.02s        0.73s             53.75s        2.14s 
No.54   C       7.0                       198.0              2.93s         0.35s             3.28s         2.14s 
No.55   C       19.0                      141.0              120.57s       1.77s             122.34s       2.14s 
No.56   B       10.0                      39.0               2.15s         0.50s             2.65s         2.14s 
No.57   C       3.0                       181.0              1.41s         0.16s             1.57s         2.14s 
No.58   D       2.0                       184.0              1.30s         0.05s             1.35s         2.64s 
No.59   A       10.0                      212.0              2.43s         0.50s             2.93s         2.64s 
No.60   A       14.0                      72.0               6.25s         0.71s             6.96s         2.64s 
No.61   D       14.0                      191.0              67.71s        0.93s             68.64s        2.64s 
No.62   E       3.0                       80.0               0.97s         0.16s             1.13s         2.64s 
No.63   A       15.0                      178.0              86.68s        1.19s             87.87s        2.64s 
No.64   D       3.0                       69.0               1.01s         0.16s             1.17s         2.64s 
No.65   A       19.0                      90.0               9.77s         0.95s             10.72s        2.64s 
No.66   E       3.0                       54.0               2.37s         0.08s             2.45s         3.14s 
No.67   E       3.0                       228.0              1.26s         0.16s             1.42s         3.14s 
No.68   E       3.0                       159.0              2.48s         0.08s             2.56s         3.14s 
No.69   D       16.0                      290.0              7.50s         0.81s             8.31s         3.14s 
No.70   A       1.0                       217.0              0.42s         0.05s             0.47s         3.14s 
No.71   A       13.0                      72.0               69.31s        0.93s             70.24s        3.14s 
No.72   C       4.0                       214.0              1.82s         0.20s             2.02s         3.14s 
No.73   C       1.0                       226.0              0.71s         0.03s             0.74s         3.14s 
No.74   D       14.0                      93.0               97.55s        1.31s             98.86s        3.64s 
No.75   B       18.0                      120.0              10.08s        0.93s             11.01s        3.64s 
No.76   B       3.0                       185.0              2.85s         0.08s             2.93s         3.64s 
No.77   C       20.0                      243.0              10.49s        1.00s             11.49s        3.64s 
No.78   A       18.0                      50.0               10.64s        0.91s             11.55s        3.64s 
No.79   E       15.0                      216.0              8.44s         0.76s             9.20s         3.64s 
No.80   D       9.0                       269.0              17.59s        0.30s             17.89s        3.64s 
No.81   B       9.0                       235.0              3.18s         0.45s             3.63s         3.64s 
No.82   E       7.0                       147.0              3.10s         0.35s             3.45s         3.64s 
No.83   D       4.0                       253.0              4.47s         0.11s             4.58s         4.14s 
No.84   E       13.0                      186.0              7.28s         0.66s             7.94s         4.14s 
No.85   A       16.0                      44.0               121.20s       1.73s             122.93s       4.14s 
No.86   C       7.0                       271.0              10.44s        0.19s             10.63s        4.14s 
No.87   C       5.0                       137.0              6.20s         0.13s             6.33s         4.14s 
No.88   C       15.0                      279.0              111.77s       1.55s             113.32s       4.14s 
No.89   A       1.0                       58.0               0.92s         0.03s             0.95s         4.14s 
No.90   A       13.0                      11.0               92.50s        1.23s             93.73s        4.14s 
No.91   E       7.0                       138.0              3.43s         0.35s             3.78s         4.14s 
No.92   C       12.0                      126.0              77.88s        1.01s             78.89s        4.14s 
No.93   C       6.0                       164.0              3.06s         0.31s             3.37s         4.14s 
No.94   C       3.0                       115.0              3.41s         0.08s             3.49s         4.64s 
No.95   B       9.0                       41.0               4.22s         0.45s             4.67s         4.64s 
No.96   D       17.0                      12.0               10.78s        0.86s             11.64s        4.64s 
No.97   A       14.0                      18.0               8.41s         0.71s             9.12s         4.64s 
No.98   D       9.0                       299.0              39.75s        0.51s             40.26s        4.64s 
No.99   E       12.0                      60.0               6.69s         0.60s             7.29s         4.64s 
No.100  A       18.0                      36.0               141.15s       2.08s             143.23s       4.64s 
No.101  A       18.0                      175.0              13.83s        1.04s             14.87s        4.64s 
No.102  A       5.0                       171.0              7.27s         0.13s             7.40s         5.14s 
No.103  A       11.0                      151.0              6.35s         0.57s             6.92s         5.14s 
No.104  A       15.0                      27.0               7.82s         0.76s             8.58s         5.14s 
No.105  C       4.0                       27.0               5.36s         0.11s             5.47s         5.14s 
No.106  E       7.0                       252.0              3.60s         0.35s             3.95s         5.14s 
No.107  D       19.0                      79.0               141.86s       2.13s             143.99s       5.14s 
No.108  B       9.0                       221.0              5.12s         0.46s             5.58s         5.14s 
No.109  E       1.0                       186.0              0.63s         0.05s             0.68s         5.14s 
No.110  B       14.0                      122.0              114.27s       1.57s             115.84s       5.14s 
No.111  C       19.0                      267.0              10.24s        0.95s             11.19s        5.14s 
No.112  C       15.0                      49.0               121.87s       1.72s             123.59s       5.14s 
No.113  D       3.0                       277.0              1.26s         0.16s             1.42s         5.14s 
No.114  B       20.0                      70.0               143.26s       2.17s             145.43s       5.64s 
No.115  E       1.0                       93.0               0.59s         0.05s             0.64s         5.64s 
No.116  C       10.0                      198.0              77.47s        0.98s             78.45s        5.64s 
No.117  D       13.0                      276.0              9.09s         0.66s             9.75s         5.64s 
No.118  B       10.0                      206.0              77.49s        0.99s             78.48s        5.64s 
No.119  A       15.0                      116.0              12.87s        0.89s             13.76s        5.64s 
No.120  D       4.0                       96.0               1.96s         0.20s             2.16s         5.64s 
No.121  B       2.0                       155.0              2.55s         0.05s             2.60s         5.64s 
No.122  D       3.0                       6.0                1.73s         0.16s             1.89s         5.64s 
No.123  B       12.0                      115.0              104.92s       1.39s             106.31s       5.64s 
No.124  C       3.0                       29.0               1.67s         0.16s             1.83s         5.64s 
No.125  A       9.0                       111.0              5.30s         0.45s             5.75s         5.64s 
No.126  C       1.0                       253.0              1.23s         0.03s             1.26s         5.64s 
No.127  C       8.0                       289.0              3.61s         0.40s             4.01s         5.64s 
No.128  D       18.0                      249.0              141.74s       2.11s             143.85s       6.14s 
No.129  E       9.0                       199.0              5.25s         0.45s             5.70s         6.14s 
No.130  B       1.0                       222.0              1.28s         0.03s             1.31s         6.14s 
No.131  B       18.0                      261.0              14.82s        1.07s             15.89s        6.14s 
No.132  D       12.0                      101.0              8.88s         0.60s             9.48s         6.14s 
No.133  C       2.0                       177.0              2.76s         0.05s             2.81s         6.14s 
No.134  D       2.0                       204.0              1.24s         0.11s             1.35s         6.14s 
No.135  C       19.0                      56.0               141.47s       2.13s             143.60s       6.64s 
No.136  A       16.0                      23.0               13.73s        0.96s             14.69s        6.64s 
No.137  D       3.0                       206.0              1.96s         0.16s             2.12s         6.64s 
No.138  B       11.0                      232.0              100.05s       1.32s             101.37s       6.64s 
No.139  E       10.0                      10.0               6.30s         0.50s             6.80s         6.64s 
No.140  A       7.0                       204.0              37.15s        0.45s             37.60s        6.64s 
No.141  A       20.0                      174.0              15.36s        1.17s             16.53s        6.64s 
No.142  D       18.0                      42.0               12.55s        0.91s             13.46s        6.64s 
No.143  E       13.0                      22.0               121.33s       1.71s             123.04s       6.64s 
No.144  A       7.0                       257.0              5.25s         0.37s             5.62s         7.14s 
No.145  A       19.0                      184.0              9.89s         0.95s             10.84s        7.14s 
No.146  C       10.0                      170.0              98.61s        1.27s             99.88s        7.14s 
No.147  E       1.0                       281.0              0.56s         0.05s             0.61s         7.14s 
No.148  C       17.0                      207.0              140.69s       2.09s             142.78s       7.14s 
No.149  E       3.0                       33.0               1.86s         0.16s             2.02s         7.14s 
No.150  A       18.0                      207.0              141.38s       2.12s             143.50s       7.14s 
No.151  D       19.0                      186.0              12.70s        0.95s             13.65s        7.14s 
No.152  B       1.0                       264.0              1.46s         0.03s             1.49s         7.14s 
No.153  B       17.0                      267.0              140.81s       2.08s             142.89s       7.14s 
No.154  A       2.0                       80.0               1.49s         0.11s             1.60s         7.64s 
No.155  E       5.0                       129.0              3.38s         0.25s             3.63s         7.64s 
No.156  A       13.0                      52.0               122.32s       1.74s             124.06s       7.64s 
No.157  D       10.0                      119.0              7.99s         0.50s             8.49s         7.64s 
No.158  A       1.0                       271.0              0.65s         0.05s             0.70s         7.64s 
No.159  E       20.0                      180.0              141.40s       2.16s             143.56s       7.64s 
No.160  B       5.0                       38.0               3.38s         0.26s             3.64s         7.64s 
No.161  C       4.0                       137.0              14.34s        0.18s             14.52s        7.64s 
No.162  C       11.0                      170.0              6.59s         0.55s             7.14s         8.15s 
No.163  D       7.0                       225.0              5.89s         0.35s             6.24s         8.15s 
No.164  E       18.0                      278.0              9.51s         0.91s             10.42s        8.15s 
No.165  A       18.0                      51.0               140.79s       2.12s             142.91s       8.15s 
